product_ndc	proprietary_name
0065-1432	Systane Ultra	
50222-0501	Taclonex	
64380-0722	Tacrolimus	
51285-0100	Take Action	
0004-0800	Tamiflu	
63739-0269	Tamoxifen Citrate	
68382-0132	Tamsulosin Hydrochloride	
52747-0900	Tandem	
60793-0104	Tapazole	
50102-0128	Tarina Fe 1/20	
0074-3288	Tarka	
0187-0938	Tasmar	
0409-5093	Tazicef	
0023-8335	Tazorac	
0065-0426	Tears Naturale Forte	
0065-0416	Tears Naturale Free	
0065-0418	Tears Naturale Ii Polyquad	
0078-0492	Tegretol	
0078-0605	Tekamlo	
0078-0486	Tekturna	
0078-0524	Tekturna Hct	
0054-0544	Telmisartan	
0378-1075	Telmisartan and Amlodipine	
0378-2901	Telmisartan and Hydrochlorothiazide	
53489-0649	Temazepam	
0085-1417	Temodar	
47335-0893	Temozolomide	
59746-0383	Terazosin	
0781-2054	Terazosin Hydrochloride	
51079-0938	Terazosin Hydrochloride Anhydrous	
67405-0543	Terbinafine	
67405-0500	Terbinafine Hydrochloride	
63323-0665	Terbutaline Sulfate	
0591-3196	Terconazole	
66887-0001	Testim	
0832-1121	Testosterone	
0143-9726	Testosterone Cypionate	
0574-0821	Testosterone Enanthate	
0065-0741	Tetracaine Hydrochloride	
54868-0024	Tetracycline Hydrochloride	
0074-3020	Teveten Hct	
50474-0400	Theo-24	
68462-0380	Theophylline	
0178-0320	Theragesic Creme	
63323-0013	Thiamine	
67457-0196	Thiamine Hydrochloride	
53489-0500	Thioridazine Hydrochloride	
0781-2226	Thiothixene	
55253-0600	Tiagabine Hydrochloride	
0093-0154	Ticlopidine Hydrochloride	
0069-5820	Tikosyn	
52544-0175	Tilia Fe	
61314-0225	Timolol Gfs	
0378-0055	Timolol Maleate	
25010-0813	Timoptic	
25010-0811	Timoptic-xe	
16571-0215	Tindazole	
44523-0425	Tinidazole	
24090-0490	Tirosint	
49702-0228	Tivicay	
0378-0722	Tizanidine	
0591-2790	Tizanidine Hydrochloride	
0065-0647	Tobradex	
0065-0652	Tobradex St	
63323-0305	Tobramycin	
0069-0302	Tobramycin Sulfate	
24208-0295	Tobramycin and Dexamethasone	
0065-0644	Tobrex	
0378-5200	Tolmetin Sodium	
0904-0722	Tolnaftate	
0904-0726	Tolnaftate Antifungal	
0378-3402	Tolterodine Tartrate	
50458-0642	Topamax	
36800-0054	Topcare 12 Hour Decongestant	
36800-0194	Topcare Acid Reducer	
36800-0458	Topcare All Day Allergy	
36800-0176	Topcare All Day Allergy D	
36800-0140	Topcare All Day Pain Relief	
36800-0479	Topcare Allergy	
36800-0311	Topcare Allergy Relief	
36800-0851	Topcare Antacid	
36800-0179	Topcare Antacid Calcium	
36800-0224	Topcare Anti Diarrheal	
36800-0966	Topcare Arthritis Pain Relief	
36800-0277	Topcare Aspirin	
36800-0189	Topcare Childrens All Day Allergy	
36800-0379	Topcare Childrens Allergy	
36800-0906	Topcare Childrens Cold and Allergy Elixer	
36800-0987	Topcare Childrens Cold and Cough Elixir	
36800-0660	Topcare Childrens Ibuprofen	
36800-0175	Topcare Childrens Pain Relief	
36800-0306	Topcare Clearlax	
36800-0496	Topcare Cold	
36800-0402	Topcare Cold Head Congestion	
36800-0234	Topcare Cold Head Congestion Severe	
36800-0371	Topcare Cold Multi Symptom	
36800-0308	Topcare Cold Multi Symptom Severe	
36800-0321	Topcare Complete	
36800-0282	Topcare Dayhist Allergy	
36800-0215	Topcare Daytime	
36800-0477	Topcare Fiber Laxative	
36800-0882	Topcare Gas Relief	
36800-0430	Topcare Headache Formula	
36800-0022	Topcare Heartburn Relief	
36800-0047	Topcare Heartburn Relief 150	
36800-0944	Topcare Hemorrhoidal	
36800-0897	Topcare Ibuprofen	
36800-0050	Topcare Ibuprofen Pm	
36800-0057	Topcare Infants Ibuprofen	
36800-0086	Topcare Laxative	
36800-0825	Topcare Miconazole 7	
36800-0374	Topcare Migraine Formula	
36800-0949	Topcare Milk Of Magnesia	
36800-0419	Topcare Mucus Relief	
36800-0293	Topcare Nasal	
36800-0094	Topcare Nasal Decongestant Pe	
36800-0029	Topcare Nicotine	
36800-0977	Topcare Nite Time	
36800-0915	Topcare Omeprazole	
36800-0484	Topcare Pain Relief	
36800-0751	Topcare Pain Relief Pm	
36800-0886	Topcare Sinus Congestion and Pain	
36800-0151	Topcare Sleep Aid	
36800-0343	Topcare Sore Throat	
36800-0337	Topcare Stomach Relief	
36800-0486	Topcare Stool Softener	
36800-0516	Topcare Tussin Cf	
36800-0359	Topcare Tussin Dm	
36800-0799	Topcare Tussin Dm Max	
51672-5281	Topicort	
68382-0005	Topiramate	
0603-6135	Torsemide	
0069-0242	Toviaz	
15821-0501	Tozal	
0597-0140	Tradjenta	
68180-0698	Tramadol Hydrochloride	
68084-0825	Tramadol Hydrochloride and Acetaminophen	
16252-0543	Trandolapril	
0591-3720	Tranexamic Acid	
10019-0553	Transderm Scop	
49884-0032	Tranylcypromine Sulfate	
0065-0260	Travatan Z	
63868-0160	Travel Sickness	
49884-0044	Travoprost Ophthalmic Solution 0.004%	
68084-0125	Trazodone Hydrochloride	
68682-0514	Tretinoin	
0173-0750	Treximet	
0603-7663	Tri Previfem	
0781-4060	Tri-estarylla	
16714-0363	Tri-linyah	
0299-5950	Tri-luma	
0555-9018	Tri-sprintec	
0603-1786	Tri-vit With Fluoride Drops	
0603-1787	Tri-vit With Fluoride and Iron Drops	
44946-1035	Tri-vitamin With Fluoride	
0955-1710	Triamcinolone Acetonide	
0781-1008	Triamterene Hydrochlorothiazide	
0781-2715	Triamterene and Hydrochlorothiazide	
51079-0935	Triamterene and Hydrochlorothiazide Capsules	
59762-3717	Triazolam	
65597-0114	Tribenzor	
67112-0101	Tricare Prenatal	
67112-0401	Tricare Prenatal Dha One	
0121-0677	Tricitrates	
63044-0635	Tricon	
0074-6122	Tricor	
51079-0572	Trifluoperazine Hydrochloride	
59762-0040	Trifluridine	
16571-0161	Trihexyphenidyl Hydrochloride	
0078-0456	Trileptal	
0074-9189	Trilipix	
53489-0376	Trimethobenzamide Hydrochloride	
0093-2158	Trimethoprim	
17478-0703	Trimethoprim Sulfate and Polymyxin B Sulfate	
0168-0012	Triple Antibiotic	
0713-0268	Triple Antibiotic Ointment	
0713-0622	Triple Antibiotic Plus	
62011-0099	Triple Antibiotic Plus Pain Relief	
13925-0170	Triple-vitamin Drops With Fluoride	
49702-0231	Triumeq	
52544-0291	Trivora	
0603-0648	Trixaicin	
0603-0649	Trixaicin Hp	
17772-0104	Trokendi Xr	
45802-0356	Trolamine Salicylate	
17478-0102	Tropicamide	
0591-3636	Trospium Chloride	
0006-3519	Trusopt	
61958-0701	Truvada	
0135-0552	Tums	
54859-0801	Tusnel	
54859-0505	Tusnel Diabetic	
0095-0054	Tussicaps	
61570-0081	Tussigon	
0113-2310	Tussin	
15127-0943	Tussin Cf	
67510-0527	Tussin Dm	
15127-0945	Tussin Original	
53014-0548	Tussionex Pennkinetic	
0597-0124	Twynsta	
50458-0515	Tylenol With Codeine	
68012-0309	Uceris	
59212-0780	Ulesfia	
64764-0677	Uloric	
50458-0650	Ultracet	
50458-0659	Ultram	
50458-0653	Ultram Er	
10631-0119	Ultravate X	
58980-0605	Urea	
0178-0615	Urocit-k	
0485-0151	Urogesic Blue	
24987-0200	Uroxatral	
0904-6221	Ursodiol	
0067-2091	Vagistat-3	
63304-0905	Valacyclovir	
0378-4275	Valacyclovir Hydrochloride	
0004-0039	Valcyte	
0591-4012	Valproic	
0603-1841	Valproic Acid	
68084-0822	Valsartan	
0781-5952	Valsartan and Hydrochlorothiazide	
58809-0999	Vanacof	
58809-0501	Vanahist Pd	
25021-0157	Vancomycin	
63323-0284	Vancomycin Hydrochloride	
0245-0860	Vandazole	
52937-0101	Vascepa	
0187-0143	Vasotec	
63020-0049	Velcade	
49230-0645	Velphoro	
0145-0071	Veltin	
0603-6151	Venlafaxine	
68084-0713	Venlafaxine Hydrochloride	
0173-0753	Veramyst	
60505-2740	Verapamil	
62175-0487	Verapamil Hydrochloride	
10337-0450	Veregen	
51248-0150	Vesicare	
52544-0982	Vestura	
0065-0627	Vexol	
0069-4200	Viagra	
37000-0544	Vicks Vaporub	
37000-0522	Vicks Vaposteam	
0074-3054	Vicodin	
0074-2277	Vicoprofen	
0065-4013	Vigamox	
0456-1140	Viibryd	
75987-0031	Vimovo	
0131-1810	Vimpat	
68462-0318	Viorele	
63010-0027	Viracept	
0597-0129	Viramune	
61958-0406	Viread	
76439-0260	Virt-caps	
76439-0241	Virt-pn	
76439-0340	Virt-pn Dha	
76439-0243	Virt-pn Plus	
76439-0209	Virt-vite	
76439-0252	Virtussin Ac	
59528-1988	Vital-d Rx	
45802-0395	Vitamin A and D	
0168-0035	Vitamin A and Vitamin D	
67457-0146	Vitamin B Complex	
0574-0194	Vitamin D	
0409-9158	Vitamin K1	
51862-0164	Vitamins A, C, D and Fluoride	
0078-0344	Vivelle-dot	
65757-0300	Vivitrol	
63481-0684	Voltaren	
0781-3416	Voriconazole	
76439-0221	Vp-zel	
68180-0875	Vyfemla	
59417-0105	Vyvanse	
55154-0884	Warfarin Sodium	
65597-0903	Welchol	
0173-0177	Wellbutrin	
16714-0370	Wera	
63868-0927	Witch Hazel	
49348-0920	Womans Laxative	
15127-0010	Womens Gentle Laxative	
68180-0898	Wymzya Fe	
58980-0625	X Viate	
58980-0624	X-viate	
0013-8303	Xalatan	
0009-0029	Xanax	
50458-0578	Xarelto	
0069-1001	Xeljanz	
0004-0257	Xenical	
0187-5104	Xerese	
55513-0730	Xgeva	
65649-0303	Xifaxan	
63402-0511	Xopenex	
0378-3340	Xulane	
0024-5801	Xyzal	
50419-0402	Yasmin	
50419-0405	Yaz	
0065-4011	Zaditor	
49884-0304	Zafirlukast	
0093-5269	Zaleplon	
24987-0364	Zantac	
0597-0122	Zantac 75	
0597-0120	Zantac Maximum Strength 150 Cool Mint	
52544-0981	Zarah	
0071-0237	Zarontin	
13811-0583	Zatean-ch	
0145-1506	Zeasorb	
68308-0554	Zebutal	
68012-0052	Zegerid	
0187-0453	Zelapar	
0074-4317	Zemplar	
52544-0210	Zenchent	
65162-0347	Zenchent Fe	
58980-0336	Zencia Wash	
42865-0304	Zenpep	
0093-2090	Zeosa	
0310-0134	Zestril	
66582-0414	Zetia	
63402-0737	Zetonna	
99207-0300	Ziana	
0378-6106	Zidovudine	
0168-0062	Zinc Oxide	
0006-3931	Zioptan	
59762-2002	Ziprasidone	
68180-0334	Ziprasidone Hydrochloride	
13913-0008	Zipsor	
24208-0535	Zirgan	
0069-3080	Zithromax	
43376-0210	Zohydro	
68462-0499	Zolmiptriptan	
0115-0672	Zolmitriptan	
0049-4960	Zoloft	
68180-0780	Zolpidem Tartrate	
64896-0672	Zomig	
0310-0211	Zomig Zmt	
10337-0804	Zonalon	
62856-0681	Zonegran	
68084-0008	Zonisamide	
0078-0414	Zortress	
42211-0203	Zorvolex	
52544-0383	Zovia 1/35e-28	
40076-0953	Zovirax	
54123-0914	Zubsolv	
63717-0876	Zutripro	
99207-0276	Zyclara	
10122-0902	Zyflo Cr	
24208-0358	Zylet	
0023-3615	Zymaxid	
0002-4420	Zyprexa	
57894-0150	Zytiga	
0009-5140	Zyvox	
